DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNDEV_002: Africa,NT_ANT_HAZ_NE2: Height-for-age <-2 SD (stunting),_T: Total,2017,31.9,0: Units,PCNT: %,E: Estimated value,,31.5,32.4,,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,OTHER: Other,,2000-2022,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNDEV_002: Africa,NT_ANT_HAZ_NE2: Height-for-age <-2 SD (stunting),_T: Total,2018,31.5,0: Units,PCNT: %,E: Estimated value,,31,32,,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,OTHER: Other,,2000-2022,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNDEV_002: Africa,NT_ANT_HAZ_NE2: Height-for-age <-2 SD (stunting),_T: Total,2019,31.1,0: Units,PCNT: %,E: Estimated value,,30.6,31.7,,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,OTHER: Other,,2000-2022,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNDEV_002: Africa,NT_ANT_HAZ_NE2: Height-for-age <-2 SD (stunting),_T: Total,2020,30.8,0: Units,PCNT: %,E: Estimated value,,30.1,31.4,,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,OTHER: Other,,2000-2022,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNDEV_002: Africa,NT_ANT_HAZ_NE2: Height-for-age <-2 SD (stunting),_T: Total,2021,30.3,0: Units,PCNT: %,E: Estimated value,,29.7,31,,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,OTHER: Other,,2000-2022,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNDEV_002: Africa,NT_ANT_HAZ_NE2: Height-for-age <-2 SD (stunting),_T: Total,2022,30,0: Units,PCNT: %,E: Estimated value,,29.2,30.8,,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,OTHER: Other,,2000-2022,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,NT_ANT_HAZ_NE2: Height-for-age <-2 SD (stunting),_T: Total,2016,33.6,0: Units,PCNT: %,E: Estimated value,,33.2,34,,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,OTHER: Other,,2000-2022,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,NT_ANT_HAZ_NE2: Height-for-age <-2 SD (stunting),_T: Total,2017,33.2,0: Units,PCNT: %,E: Estimated value,,32.8,33.6,,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,OTHER: Other,,2000-2022,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,NT_ANT_HAZ_NE2: Height-for-age <-2 SD (stunting),_T: Total,2018,32.8,0: Units,PCNT: %,E: Estimated value,,32.3,33.2,,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,OTHER: Other,,2000-2022,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,NT_ANT_HAZ_NE2: Height-for-age <-2 SD (stunting),_T: Total,2019,32.3,0: Units,PCNT: %,E: Estimated value,,31.8,32.8,,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,OTHER: Other,,2000-2022,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,NT_ANT_HAZ_NE2: Height-for-age <-2 SD (stunting),_T: Total,2020,31.8,0: Units,PCNT: %,E: Estimated value,,31.3,32.4,,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,OTHER: Other,,2000-2022,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,NT_ANT_HAZ_NE2: Height-for-age <-2 SD (stunting),_T: Total,2021,31.4,0: Units,PCNT: %,E: Estimated value,,30.7,32.1,,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,OTHER: Other,,2000-2022,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,NT_ANT_HAZ_NE2: Height-for-age <-2 SD (stunting),_T: Total,2022,31,0: Units,PCNT: %,E: Estimated value,,30.2,31.8,,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,OTHER: Other,,2000-2022,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNDEV_002: Africa,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),_T: Total,2022,5.8,0: Units,PCNT: %,E: Estimated value,,4.8,6.8,,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,OTHER: Other,,2022,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),_T: Total,2022,5.5,0: Units,PCNT: %,E: Estimated value,,4.7,6.6,,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,OTHER: Other,,2022,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNDEV_002: Africa,NT_ANT_WHZ_NE3: Weight-for-height <-3 SD (severe wasting),_T: Total,2022,1.4,0: Units,PCNT: %,E: Estimated value,,1.1,1.7,,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,OTHER: Other,,2022,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,NT_ANT_WHZ_NE3: Weight-for-height <-3 SD (severe wasting),_T: Total,2022,1.3,0: Units,PCNT: %,E: Estimated value,,1.1,1.5,,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,OTHER: Other,,2022,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AU_AFRICA: African Union,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),_T: Total,2023,5.878881405619734,0: Units,PCNT: %,,,,,,,,,,,,,,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AU_AFRICA: African Union,NT_ANT_WHZ_NE3: Weight-for-height <-3 SD (severe wasting),_T: Total,2023,1.3589196277635618,0: Units,PCNT: %,,,,,,,,,,,,,,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AU_AFRICA: African Union,NT_BW_LBW: Prevalence of low birth weight among new-borns,_T: Total,2020,13.249201707064977,0: Units,PCNT: %,,,,,,,,,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,NT_ANT_HAZ_NE2: Height-for-age <-2 SD (stunting),F: Female,2017,11,0: Units,PCNT: %,RA: Reanalysed,,8.8,13.6,1137.6,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,Albania Demographic and Health Survey 2017-18. Tirana  Albania  Institute of Statistics  Institute of Public Health  and ICF,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2005-2017,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,NT_ANT_HAZ_NE2: Height-for-age <-2 SD (stunting),M: Male,2017,11.6,0: Units,PCNT: %,RA: Reanalysed,,9.5,14.2,1184.4,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,Albania Demographic and Health Survey 2017-18. Tirana  Albania  Institute of Statistics  Institute of Public Health  and ICF,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2005-2017,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,NT_ANT_HAZ_NE2: Height-for-age <-2 SD (stunting),_T: Total,2017,11.3,0: Units,PCNT: %,RA: Reanalysed,,9.7,13.1,2322,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,Albania Demographic and Health Survey 2017-18. Tirana  Albania  Institute of Statistics  Institute of Public Health  and ICF,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2005-2017,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),F: Female,2017,2,0: Units,PCNT: %,RA: Reanalysed,,1.3,3,1126.2,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,Albania Demographic and Health Survey 2017-18. Tirana  Albania  Institute of Statistics  Institute of Public Health  and ICF,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2005-2017,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),M: Male,2017,1.2,0: Units,PCNT: %,RA: Reanalysed,,0.7,1.9,1172.8,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,Albania Demographic and Health Survey 2017-18. Tirana  Albania  Institute of Statistics  Institute of Public Health  and ICF,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2005-2017,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),_T: Total,2017,1.6,0: Units,PCNT: %,RA: Reanalysed,,1.1,2.2,2299,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,Albania Demographic and Health Survey 2017-18. Tirana  Albania  Institute of Statistics  Institute of Public Health  and ICF,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2005-2017,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,NT_ANT_WHZ_NE3: Weight-for-height <-3 SD (severe wasting),F: Female,2017,0.7,0: Units,PCNT: %,RA: Reanalysed,,0.3,1.4,1126.2,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,Albania Demographic and Health Survey 2017-18. Tirana  Albania  Institute of Statistics  Institute of Public Health  and ICF,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2005-2017,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,NT_ANT_WHZ_NE3: Weight-for-height <-3 SD (severe wasting),M: Male,2017,0.4,0: Units,PCNT: %,RA: Reanalysed,,0.2,0.9,1172.8,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,Albania Demographic and Health Survey 2017-18. Tirana  Albania  Institute of Statistics  Institute of Public Health  and ICF,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2005-2017,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,NT_ANT_WHZ_NE3: Weight-for-height <-3 SD (severe wasting),_T: Total,2017,0.5,0: Units,PCNT: %,RA: Reanalysed,,0.3,0.9,2299,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  May 2023,Albania Demographic and Health Survey 2017-18. Tirana  Albania  Institute of Statistics  Institute of Public Health  and ICF,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,2005-2017,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,NT_BW_LBW: Prevalence of low birth weight among new-borns,_T: Total,2016,5.944489002,0: Units,PCNT: %,MD: Modelled,,5.584134579,6.33160162,,modelled estimate,UNICEF-WHO Low birthweight estimates 2023,UNICEF-WHO Low birthweight estimates 2023,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2020,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,NT_BW_LBW: Prevalence of low birth weight among new-borns,_T: Total,2017,5.944848537,0: Units,PCNT: %,MD: Modelled,,5.558189392,6.3598661420000004,,modelled estimate,UNICEF-WHO Low birthweight estimates 2023,UNICEF-WHO Low birthweight estimates 2023,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2020,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,NT_BW_LBW: Prevalence of low birth weight among new-borns,_T: Total,2018,5.95016098,0: Units,PCNT: %,MD: Modelled,,5.536262989,6.395474434,,modelled estimate,UNICEF-WHO Low birthweight estimates 2023,UNICEF-WHO Low birthweight estimates 2023,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2020,_T: Total
